Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Rym 9000,,,,,,,,
Ryse: Son of Rome,,,,,,,,
Saints Row: The Third,,,,,,,,
Sam & Max: Devil's Playhouse,,,901399,,,,,
Satellite Reign,,,,,,,,
Savant - Ascent,,,259530,,,,,
Secrets of Raetikon,,,,,,,,
Serial Cleaner,,,,,,,,
Seven: The Days Long Gone,,,471010,,,,,
Shadow Tactics: Blades of the Shogun,,,,,,,,
Shadow Tactics: Blades of the Shogun,,,,,,,,
Shadow Tactics: Blades of the Shogun,,,,,,,,
Shank 2,,,,,,,,
She Remembered Caterpillars,,,,,,,,
Sheltered,,,,,,,,
Sherlock Holmes and the Hound of the Baskervilles,,,,,,,,
Sherlock Holmes: Mystery of the Mummy,,,11130,,,,,
Sherlock Holmes: Nemesis,,,,,,,,
Sherlock Holmes: The Devil's Daughter,,,,,,,,
Sherlock Holmes: The Mystery of the Persian Carpet,,,,,,,,
Shiness: The Lightning Kingdom,,,,,,,,
Shoppe Keep,,,,,,,,
shutshimi,,,,,,,,
Sid Meier's Civilization® VI,,,289070,,,,,
Silence,,,,,,,,
SimplePlanes,,,,,,,,
Skyborn,,,,,,,,
Slay the Spire,,,,,,,,
Sleeping Dogs: Definitive Edition,,,,,,,,
Slime-san,,,,,,,,
Slipstream,,,,,,,,
Small Radios Big Televisions,,,,,,,,
Snake Pass,,,,,,,,
Snapshot,,,204220,,,,,
Sniper Elite,,,,,,,,
Sniper Elite 3,,,,,,,,
Sniper Elite V2,,,,,24.99,,,"Original game is no longer listed, but the remaster costs $34.99 and upgrading from the original to the remaster costs $9.99."
Solar 2,,,,,,,,
Solar 2,,,,,,,,
SOMA,,,,,,,,
Song of the Deep,,,460700,,,,,
Sonic & SEGA All Stars Racing,,,34190,,,,,
Soul Searching,,,,,,,,
Soulblight,,,,,,,,
SOULCALIBUR VI,,,,,,,,
Soulflow,,TRUE,,,,,,
South Park: The Stick of Truth,,,,,,,,
Space Crew: Legendary Edition,,,,,,,,
Space Run Galaxy,,,,,,,,
SpaceChem,,,,,,,,
Spelunky,,,,,,,,
Spirits,,,210170,,,,,
Spirits,,,210170,,,,,
Splasher,,,,,,,,
Splice,,TRUE,209790,,,,,
Splice,,,209790,,,,,
Spoiler Alert Collector's Edition,,,283230,,,,,
Sproggiwood,,,,,,,,
Squad (Early Access),,,393380,,,,,
Stacking,,,,,,,,
Stacking,,,,,,,,
StarCrossed,,,,,,,,
Stardew Valley (Switch AU/NZ edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch AU/NZ edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch AU/NZ edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch AU/NZ edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch AU/NZ edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch EU/UK edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch EU/UK edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
Stardew Valley (Switch EU/UK edition),,,413150,,16.99,,https://www.nintendo.com/en-ca/store/products/stardew-valley-switch/,
